id,category,region,metric,unit,period_start,period_end,value_start,value_end,pct_change,chart_ready,quote
C022,bubble,Netherlands,Tulip bulb prices,index_peak_100,1636-10,1637-02,5,100,1900,yes,"the Dutch tulip mania... when the prices of bulbs went up twentyfold in a span of three months, only to collapse by 95 percent over a period of mere weeks."
C023,bubble,Netherlands,"Tulip bulb prices, crash",index_peak_100,1637-02,1637-05,100,5,-95,yes,only to collapse by 95 percent over a period of mere weeks.
C024,bubble,Britain,"Railway share prices, 1840s mania",index_peak_100,1844,1845,50,100,100,yes,"In 1844 and early 1845, a spectacular bubble in railway shares developed in Britain. Hundreds of the newly incorporated railway companies... saw their share prices more than double."
C025,bubble,Britain,"Railway share prices, 1840s bust",index_peak_100,1845,1848,100,40,-60,yes,"The bubble burst in late 1845, and over the next three years, share prices fell by more than 60 percent."
C026,money,France to Germany,Bismarck's opening indemnity demand,usd_million,1871,1871,500,,,no,"'at least one hundred million sterling [$500 million], as war contribution [indemnity].'"
C027,money,France,"Napoleonic-war indemnity benchmark (7% of GNP, restated in 1871 dollars)",usd_million,1815,1815,400,,,no,"the amount that France had paid in 1815 after the Napoleonic Wars: the equivalent of 7 percent of its GNP - equal, in 1871, to $400 million."
C028,money,Germany,Franco-Prussian indemnity actually received,usd_million,1871,1873,1000,,,yes,Faced with this $1 billion windfall - one and a half times the total amount of currency in circulation.
C029,money,Germany,Indemnity as a multiple of currency in circulation,ratio,1871,1871,1.5,,,no,one and a half times the total amount of currency in circulation.
C030,money,Germany,Indemnity distributed to individual states to retire debt,usd_million,1871,1873,500,,,no,But fully half - approximately $500 million - was distributed to individual states to liquidate their outstanding debts.
C031,money,Germany,Size of the German economy absorbing the indemnity,usd_million,1871,1871,4000,,,no,pumping a billion dollars into a $4 billion economy like Germany's within a two-year window.
C032,bubble,Germany,New companies incorporated,count,1871,1873,850,,,yes,"Between 1871 and 1873, nearly 850 new companies - five times the number formed during the entire previous century - were incorporated."
C033,bubble,Germany (Berlin),New companies floated on the Berlin exchange,count,1871,1873,450,,,yes,"Of these, approximately 450, with a combined market capitalization of nearly $1 billion, were floated on the Berlin Stock Exchange."
C034,bubble,Germany (Berlin),Market capitalization of newly floated companies,usd_million,1871,1873,1000,,,no,with a combined market capitalization of nearly $1 billion.
C035,bubble,Germany,Stock prices of the largest companies,index_1870_100,1870,1872,100,200,100,yes,"In the two years leading up to 1872, stock prices of the largest companies more than doubled, while those of the smaller start-ups... rose by multiples of that."
C036,bubble,Germany (Berlin),Planned construction capacity vs. actual population,persons,1872,1872,1000000,9000000,800,yes,"though the population of Berlin had yet to reach a million, planned construction projects would have accommodated a city designed for nine million inhabitants."
C037,boom,Germany,"French indemnity bonds, price gain after issue",percent,1871,1871,,,15,no,"Within three months, the bonds had risen in price by 15 percent."
C038,boom,Europe,Banks in the July 1872 indemnity bond syndicate,count,1872,1872,55,,,no,"a second one was promptly launched in July 1872, again through the House of Rothschild, which assembled a syndicate of fifty-five European banks."
C039,bubble,Austria (Vienna),Value of stocks listed on the exchange,index_1870_100,1870,1873,100,400,300,yes,the value of stocks listed on the exchange had gone up an eyewatering 300 percent over the previous three years.
C040,bubble,Austria (Vienna),Prime real-estate price doubling time,months,1870,1873,18,,,no,"prime Viennese properties had started climbing in price, and by the early 1870s, they were doubling in value every eighteen months."
C041,bubble,Austria (Vienna),"Real-estate price, low end",usd_per_sq_ft,1866,1873,2,10,400,yes,Real estate that had once changed hands at two or three dollars a square foot now went for ten to twenty dollars a square foot.
C042,bubble,Austria (Vienna),"Real-estate price, high end",usd_per_sq_ft,1866,1873,3,20,566.7,yes,Real estate that had once changed hands at two or three dollars a square foot now went for ten to twenty dollars a square foot.
C043,bubble,Austria (Vienna),"Prime city-center plot, small tract",usd,1866,1873,5000,70000,1300,yes,"a small tract that had previously fetched $5,000 now commanded more than $70,000."
C044,bubble,Austria (Vienna),Prime central plots vs. pre-boom price,ratio,1866,1873,1,15,1400,no,while prime plots of land in the city center went for as much as fifteen times their pre-boom prices.
C045,panic,Austria (Vienna),"Bank stocks on Black Friday, 9 May 1873",percent,1873-05-09,1873-05-09,,,-45,yes,"Bank stocks, the most speculative segment of the market, went down a staggering 45 percent in a single day."
C046,debt,United States,Railway bonds listed on the NYSE,usd_million,1873,1873,2200,,,yes,"the real trouble, its true epicenter, in fact lay in the bond market, particularly railway bonds. Within five years, more than half of the $2.2 billion in railway bonds listed on the New York Stock Exchange would default."
C047,debt,United States,Share of listed railway bonds in default,percent,1873,1878,,,50,yes,"Within five years, more than half of the $2.2 billion in railway bonds listed on the New York Stock Exchange would default."
C048,debt,United States,Investor losses on defaulted railway bonds,usd_million,1873,1878,600,,,no,leaving investors with losses of almost $600 million.
C049,debt,United States,Railroads in default,count,1875-12,1875-12,125,,,no,"by the end of 1875, more than 125 railroads, accounting for approximately a third of the $2.2 billion of railroad bonds issued, had stopped paying interest and were in default."
C050,debt,United States,Railroad bonds in default as share of total issued,percent,1875-12,1875-12,33,,,yes,accounting for approximately a third of the $2.2 billion of railroad bonds issued.
C051,panic,United States,"Industrial production, peak to trough",percent,1873,1876,,,-6,yes,"Of the four major economic powers, only the United States experienced a significant downturn, with a peak-to-trough decline of barely 6 percent in industrial production."
C052,panic,United States,Jay Cooke & Co. lending to Northern Pacific,usd_million,1873-09,1873-09,8,,,no,"while the bank had, by this point, lent close to $8 million to Northern Pacific, it had total assets of $16 million and only $8 million in liabilities."
C053,panic,United States,Jay Cooke & Co. total assets,usd_million,1873-09,1873-09,16,,,no,it had total assets of $16 million and only $8 million in liabilities; it had earned $2 million over the previous two years.
C054,panic,United States,Jay Cooke & Co. capital,usd_million,1865,1865,10,,,yes,His bank was estimated to have $10 million in capital... it made Jay Cooke & Co. the largest investment-banking firm in the United States.
C055,panic,United States,Population of the states on the Northern Pacific route,persons,1873,1873,600000,,,no,the total population of the states through which it was supposed to flow was then barely six hundred thousand.
C056,panic,United States,Cooke's private pool to place stock with politicians,usd_million,1870,1873,1,,,no,Cooke also set up a private $1 million pool to finance grants of stocks and bonds in the new railroad at below-market prices for a who's who of key politicians.
C057,panic,United States,Days the New York Stock Exchange stayed closed,days,1873-09-20,1873-09-30,10,,,no,"The stock exchange remained closed for ten days. When it reopened on September 30, it turned out that the rout had largely spent itself."
C058,panic,United States,Stock prices after the exchange reopened,percent,1873-09-30,1873-11,,,-20,yes,"But stocks continued to trade lower over the next two months, losing another 20 percent of their value."
C059,panic,United States,Western Union share price,usd_per_share,1873-09,1873-11,92,46,-50,yes,"Western Union, which had been at $92 a share in early September, had halved in value, trading at $46 a share."
C060,panic,United States,New York Central share price,usd_per_share,1873-09,1873-11,105,83,-21,yes,"Vanderbilt's New York Central, which had traded at $105 a share before the crisis, was now at $83 a share, down 20 percent."
C061,panic,United States,Union Pacific share price,usd_per_share,1873-09,1873-11,27,16,-40.7,yes,"and Union Pacific, which had been at $27 a share, was now at $16."
C062,panic,United States,Share of the panic's losses recovered,percent,1874-01,1874-06,,,50,no,"But the panic was over, and stocks would recover half their losses in the early part of 1874."
C063,panic,United States,Stock market during the 1869 gold corner (first Black Friday),percent,1869-09,1869-09,,,-20,yes,"as speculators, forced to cover their losses in the gold market, sold other securities, the stock market fell by 20 percent, triggering the New York Stock Exchange's first Black Friday."
C064,panic,United States,Jay Gould's reported gain from the gold corner,usd_million,1869,1869,10,,,no,"But as rumor had it, Gould still walked away from the swindle $10 million richer."
C065,panic,United States,Stock market after the 1874 Specie Resumption turn,percent,1874-11,1877,,,-40,yes,"The stock market, which had rebounded by almost 20 percent since its November lows after the September 1873 crash, once again resumed its downward spiral - eventually declining by a further 40 percent over the next three years."
C066,deflation,World,Price level,percent,1873,1879,,,-22.5,yes,"Over the following six years, prices across the world dropped by 20 to 25 percent."
C067,deflation,United States,Wholesale prices,percent,1873,1879,,,-35,yes,"In the United States, still in the process of readjusting after the Civil War, the deflation cut even deeper - the prices of wholesale goods plummeted by 35 percent."
C068,deflation,Britain and United States,"Consumer prices, first leg",percent,1873,1880,,,-15,yes,"Consumer prices in both Britain and the United States, having already declined by more than 15 percent since 1873, would fall by another 15 percent over the next decade and a half."
C069,deflation,Britain and United States,"Consumer prices, second leg",percent,1880,1896,,,-15,yes,would fall by another 15 percent over the next decade and a half.
C070,deflation,Britain and United States,"Consumer prices, cumulative",percent,1873,1896,,,-33,yes,"Before it was all over, they ended up a full third lower."
C071,money,World,Silver price,usd_per_ounce,1872,1892,1.32,0.83,-37.1,yes,It had fallen from $1.32 an ounce in 1872 - a price that had remained stable since the end of the eighteenth century - to a mere $0.83 at the beginning of 1892.
C072,money,France,Gold and silver holdings,usd_million,1868,1868,1400,,,no,"large holdings of gold and silver - the most extensive in the world, amounting to around $1.4 billion, or one-fifth of the world's monetary reserves in the late 1860s."
C073,money,France,Share of world monetary reserves,percent,1868,1868,20,,,no,or one-fifth of the world's monetary reserves in the late 1860s.
C074,money,United States,Foreign redemptions of dollar assets for gold,usd_million,1891,1892,135,,,no,"Throughout 1891 and 1892, foreigners, fearing a potential shift to a silver-based dollar, had redeemed a total of $135 million in U.S. dollar assets for gold."
C075,money,United States,Gold reserves vs. the $100m minimum,usd_million,1893-04,1893-04,100,,,no,"By the spring of 1893... U.S. gold reserves had fallen perilously close to the $100 million mark, then considered the bare minimum necessary to maintain the dollar's link to gold."
C076,money,World,Gold production,percent,1892,1896,,,50,yes,"By the time of the election, worldwide gold production had jumped by 50 percent, and South Africa had overtaken the U.S. as the world's largest producer."
C077,money,World,Goods and commodity prices in the six months before the 1896 election,percent,1896-04,1896-11,,,7.5,yes,"In the six months before, prices for all goods, including agricultural commodities, had risen between 5 and 10 percent and would continue to go up for the next decade and a half."
C078,flows,Britain,Volume of loans channeled to the rest of the world,percent,1873,1876,,,-80,yes,"By 1876, the volume of loans channeled from Britain to the rest of the world had fallen by 80 percent."
C079,flows,Britain,"International capital outflows, boom peak",usd_million,1872,1872,500,,,yes,"International capital flows from Britain, which had reached $500 million annually at the height of the boom before shrinking to less than $100 million in the late 1870s, rebounded."
C080,flows,Britain,"International capital outflows, trough",usd_million,1878,1878,100,,,yes,before shrinking to less than $100 million in the late 1870s.
C081,flows,Britain,"International capital outflows, recovery",usd_million,1888,1888,500,,,yes,"rebounded, and by the late 1880s, they were back to their peak."
C082,debt,United States (states),Aggregate state debt,usd_million,1830,1837,26,170,553.8,yes,The debt owed by the states jumped from $26 million in 1830 to $170 million seven years later.
C083,debt,United States (states),Share of outstanding state debt in default,percent,1841,1842,,,66.7,no,"Over the next few years, nine states and the territory of Florida, accounting for two-thirds of the total outstanding debt, defaulted."
C084,debt,Egypt,Bonded debt owed to bondholders,usd_million,1876,1876,350,,,yes,"In round numbers, Ismail owed some $350 million in debt to bondholders, mostly British investors."
C085,debt,Egypt,High-interest floating-rate debt,usd_million,1876,1876,100,,,yes,"and another $100 million, mostly to French investors, in the form of high-interest floating-rate debt, about half of which had been contracted against Ismail's personal land holdings."
C086,debt,Egypt,Unpaid contractor bills and salary arrears,usd_million,1876,1876,50,,,yes,It would later emerge that the state owed another $50 million because of unpaid bills to contractors and arrears in pay to civil servants and members of the military.
C087,debt,Egypt,Annual interest payments,usd_million,1875,1875,40,,,no,with the country's interest payments running at $40 million annually.
C088,debt,Egypt,Proceeds from the sale of its Suez Canal shares,usd_million,1875,1875,20,,,no,the $20 million generated from the sale of the Suez shares had merely bought a six-month reprieve.
C089,debt,Egypt,Debt price after the Suez share sale,cents_on_the_dollar,1875-11,1875-12,50,70,40,yes,"Egyptian debt, which had been trading at slightly above fifty cents on the dollar, briefly jumped twenty points."
C090,debt,Honduras,Rumored bribe to secure the government guarantee,usd,1872,1872,50000,,,no,"It was rumored that the price to secure the government guarantee was a bribe of $50,000 to the president of Honduras."
C091,politics,Ottoman Empire,Deaths in the Anatolian famine,persons,1874,1875,100000,150000,,no,"Between 100,000 and 150,000 Turks lost their lives in the snowbound villages of Anatolia that winter."
C092,banking,Europe (Rothschild),Family fortune at the end of the Napoleonic Wars,usd_million,1815,1815,10,,,yes,"By the end of the wars, they had built a fortune of approximately $10 million."
C093,banking,Europe (Rothschild),Annual bank profits,usd_million,1850,1867,1,6,500,yes,"Until 1850, the bank had typically generated annual profits of around $1 million... by James's death in 1867, they were running close to $6 million."
C094,banking,Europe (Rothschild),Bank capital,usd_million,1850,1867,40,150,275,yes,the bank almost quadrupled its capital from $40 million to $150 million.
C095,banking,Europe (Rothschild),Share of total European banking-system capital,percent,1867,1867,33,,,no,accounting for a third of the capital of the entire European banking system.
C096,banking,Europe (Rothschild),"Group capital, third generation",usd_million,1870,1870,200,,,no,"the Paris house had become, over the previous two decades, the most heavily capitalized branch, carrying nearly two-thirds of the group's $200 million in capital."
C097,banking,Europe (Rothschild),Paris branch share of group capital,percent,1870,1870,66.7,,,no,carrying nearly two-thirds of the group's $200 million in capital.
C098,banking,Europe (Rothschild),Share of all capital raised on international markets,percent,1850,1870,33,,,yes,"the combination of N. M. Rothschild & Sons... and Rothschild Freres, its Paris arm, had overwhelmingly dominated the global bond business, accounting for over one-third of all capital raised on the international markets."
C099,banking,Europe (Rothschild),Average annual bank profits after the crisis,usd_million,1880,1900,7,,,yes,"At the time of James's death, the bank had been generating approximately $6 million annually. After a dip in the late 1870s, it bounced back, averaging about $7 million a year for the next two decades."
C100,banking,Britain (Baring Brothers),Bank capital,usd_million,1865,1865,15,,,yes,"the Rothschilds collectively commanded $150 million in capital, and the Barings commanded $15 million."
C101,banking,France (Rothschild),James de Rothschild's estate at death,usd_million,1868,1868,50,,,no,"The actual figure, including the grand hotel particulier on rue Laffitte, the country estate at Ferrieres, and the vineyard of Chateau Lafite in Bordeaux, was closer to $50 million."
C102,returns,Britain (London Stock Exchange),Real annual return on equities in the run-up to the boom's peak,percent_per_year,1867,1870,18,,,no,"Over the previous three years, investors on the London Stock Exchange, by far the biggest market in the world, had earned in excess of 18 percent a year after inflation."
C103,returns,Britain,Real annual return on equities,percent_per_year,1848-1873,1873-1898,13,5,-61.5,yes,The real return that a typical investor in Britain was able to earn by investing in stocks went from 13 percent per year in the quarter century before 1873 to less than 5 percent per year in the quarter century afterward.
C104,returns,United States,Real annual return on equities,percent_per_year,1848-1873,1873-1898,11,7,-36.4,yes,"Even in the United States, where the economy was stronger, real returns on stocks fell from 11 percent before 1873 to less than 7 percent after."
C105,returns,United States,Corporate profits after the crisis,percent,1873,1878,,,-33,yes,"After dropping by over a third in the half decade after 1873, corporate profits in the United States stagnated, never regaining their 1872 peak until the 1890s."
C106,returns,United States,Years for corporate profits to regain their 1872 peak,years,1872,1890s,20,,,no,"corporate profits in the United States stagnated, never regaining their 1872 peak until the 1890s."
C107,returns,United States,Longest bear market in U.S. history,years,1880,1896,16,,,no,"In fact, the period from 1880 to 1896 has gone down as the longest bear market in U.S. history."
C108,returns,Britain,Value of agricultural land in England,percent,1873,1890s,,,-50,yes,"the government doggedly stuck to its commitment to free trade. As a result, the value of agricultural land in England fell by 50 percent."
C109,boom,United States,New railroad track laid,miles,1880,1890,75000,,,yes,"During the 1880s, 75,000 miles of new railroad track was added, more than doubling the size of the network at a cost of $5 billion, or roughly 5 percent of annual GDP."
C110,boom,United States,Cost of the 1880s railroad build-out,usd_million,1880,1890,5000,,,no,"at a cost of $5 billion, or roughly 5 percent of annual GDP."
C111,boom,United States,1880s railroad build-out as a share of annual GDP,percent_of_gdp,1880,1890,5,,,no,or roughly 5 percent of annual GDP.
C112,boom,Britain/France/Germany/US,Share of 1880-1900 spent in recession,percent,1880,1900,33,,,yes,each of the countries would spend about a third of the nineteenth century's final two decades in recession.
C113,boom,United States,Railroad track added per year during the downturn,miles_per_year,1873,1876,1000,,,no,"The railroads, which had been adding one thousand miles a year to their network, maintained that pace, and coal production actually picked up."
C114,infra,United States,"Cost of moving grain by rail, Chicago to New York",cents_per_bushel,1870,1892,30,13,-56.7,yes,"By the early 1890s, the cost of moving grain by rail from Chicago to New York had fallen from thirty cents to thirteen cents per bushel."
C115,infra,North Atlantic,Cost of shipping grain across the Atlantic,cents_per_bushel,1870,1892,20,2,-90,yes,Shipping costs across the Atlantic had fallen even more - from twenty cents to two cents per bushel by the early 1890s.
C116,infra,Europe to Far East,Transport cost after the opening of the Suez Canal,percent,1869,1875,,,-50,yes,the opening of the Suez Canal had led to a 50 percent reduction in the costs of transporting goods between Europe and the Far East.
C117,infra,United States,New York to San Francisco journey time,days,1868,1869,180,6,-96.7,yes,"The moment signaled the realization of the first transcontinental railroad across the United States, collapsing the New York-San Francisco journey from six months to a mere six days."
C118,infra,United States,Cost of the first transcontinental railroad,usd_million,1863,1869,70,,,yes,It had taken seven years to build at an estimated cost of $70 million.
C119,infra,Egypt,Cost of the Suez Canal,usd_million,1859,1869,100,,,yes,"in November 1869, a more extravagant ceremony unfolded halfway around the world to mark the opening of the Suez Canal. It had cost $100 million."
C120,infra,World,Cost of railroad construction per mile of track,usd_per_mile,1850,1873,30000,100000,,yes,"A mile of track cost anywhere from $30,000 to $100,000, depending on the terrain to be crossed."
C121,infra,World,Cost of a few-hundred-mile railway line,usd_million,1850,1873,20,,,no,A railway line stretching a few hundred miles could cost as much as $20 million.
C122,infra,United States,Federal loans per mile of transcontinental track,usd_per_mile,1862,1869,16000,48000,,yes,"loans from the federal government, which ranged from $16,000 to $48,000 for each mile of track built. These loans nominally carried a 6 percent interest rate."
C123,infra,United States,Nominal interest rate on federal railroad loans,percent,1862,1869,6,,,no,"These loans nominally carried a 6 percent interest rate, but... a substantial portion was effectively interest-free and required no repayment for thirty years."
C124,infra,United States,Federal land grants to the railroads,acres,1850,1871,175000000,,,no,"The sum total of these public land grants amounted to 175 million acres, equivalent to about 7 percent of the land area of the contiguous forty-eight states."
C125,infra,United States,Land grants as a share of the contiguous 48 states,percent,1871,1871,7,,,no,equivalent to about 7 percent of the land area of the contiguous forty-eight states.
C126,infra,United States,Value of the railroad land grants at prevailing prices,usd_million,1871,1871,200,,,no,their value at prevailing prices came to $200 million.
C127,infra,Britain/Egypt,Britain's share of Suez Canal traffic in its first years,percent,1870,1873,80,,,no,The United Kingdom accounted for 80 percent of canal traffic in its first few years.
C128,infra,India,Length of the Bombay-Calcutta rail link,miles,1870,1870,1400,,,no,"thus linking Bombay on the west coast of India with Calcutta, fourteen hundred miles away on the east coast."
C129,trade,Germany,Tariff on imported grain,percent,1870s,1890s,6,30,400,yes,German tariffs on imported grains had been jacked up from below 6 percent to above 30 percent.
C130,trade,France,Levy on imported grain,percent,1890s,1890s,40,,,yes,French grain levies approached 40 percent. (the book gives no pre-tariff starting level for France)
C131,trade,Europe,"Duties on manufactured goods, liberalization",percent,1850,1872,28,8,-71.4,yes,"Manufacturing duties, which had been steadily reduced during the boom years (from 28 percent in 1850 to 8 percent in the early 1870s)."
C132,trade,Europe,"Duties on manufactured goods, reversal",percent,1872,1890s,8,17.5,118.8,yes,were pushed back up to 15 to 20 percent.
C133,trade,United States,Tariff on manufactured imports during the boom years,percent,1850,1873,40,,,yes,"The United States was one country that had never embraced the European belief in free trade, maintaining tariffs of 40 percent or more on imports of manufactured goods, even during the boom years."
C134,trade,United States,Import duties under the McKinley Tariff Act,percent,1890,1890,50,,,yes,"passing the McKinley Tariff Act of 1890 (sponsored by Ohio Congressman William McKinley), which raised import duties to 50 percent."
C135,trade,World,International trade growth relative to global GDP growth,ratio,1848-1873,1880-1900,3,1,-66.7,yes,"International trade also became less of a driving force - in the earlier boom years, it had grown at three times the rate of global GDP; now it merely kept pace."
C136,politics,United States,"Popular-vote margin in the 1880, 1884 and 1888 presidential elections",percent,1880,1888,1,,,yes,"three presidential elections - in 1880, 1884, and 1888 - in which, despite intense partisanship and high turnout, the popular margin separating the two parties hovered under 1 percent."
C137,politics,United States,"Elections in which the party in power lost, out of the next five",count,1876,1892,4,,,no,the party in power lost the election four out of the next five times.
C138,politics,United States,"Cleveland's popular-vote margin in 1888 (won popular vote, lost the Electoral College)",percent,1888,1888,0.8,,,no,"Four years later, despite winning the popular vote by 0.8 percent, he lost in the Electoral College to Republican Benjamin Harrison, carrying only eighteen states to the Republicans' twenty."
C139,politics,United States,Reported price of a clean slate of electors in Louisiana and Florida,usd,1876,1876,200000,,,no,"In Louisiana and Florida, the going rate for a clean slate of electors was reportedly $200,000."
C140,politics,United States,Electoral Commission vote on each disputed state,ratio,1877-02,1877-02,8,7,,no,"by February 27, in a series of eight-to-seven decisions along party lines, it had voted to award all three disputed states to Hayes."
C141,politics,United States,Southern states enacting segregated-transport laws after Mississippi's 1888 statute,count,1888,1893,9,,,no,"In 1888, Mississippi would pass a statute mandating separate railroad cars for Black and white passengers. Within five years, nine Southern states would enact similar segregation laws."
C142,politics,United States,Gifts to President-elect Grant from New York businessmen,usd,1869,1869,105000,,,no,"a consortium of New York businessmen paid off the mortgage on his Washington home and threw in a bonus gift of cash and securities worth $105,000."
C143,politics,United States,Witnesses testifying before the congressional depression committee,count,1878,1879,75,,,no,"Over seventy-five witnesses - some invited, some appearing at their own initiative - testified before the committee."
C144,politics,United States,Separate causes of the depression extracted from the testimony,count,1878,1879,180,,,yes,So many different viewpoints were expressed that one observer was later able to extract from the testimony 180 separate causes of the depression.
C145,politics,Germany,Copies sold of Wilhelm Marr's antisemitic pamphlet,count,1879,1880,20000,,,no,"The pamphlet... resonated powerfully with the public, becoming a bestseller, with twelve printings and over twenty thousand copies sold."
C146,politics,France,First-year sales of Drumont's La France juive,count,1886,1887,100000,,,yes,"Despite its length, the book became a runaway bestseller, with one hundred thousand copies sold in its first year."
C147,politics,Britain,British aristocratic marriages to American heiresses,count,1870,1914,100,,,no,"Between 1870 and the start of World War I, some one hundred British aristocratic marriages - one in ten - were to American heiresses."
C148,politics,Britain,Share of British aristocratic marriages to American heiresses,percent,1870,1914,10,,,no,some one hundred British aristocratic marriages - one in ten - were to American heiresses.
C149,politics,Britain/United States,Jennie Jerome's dowry on marrying Lord Randolph Churchill,usd,1874,1874,250000,,,no,"The bride came with a dowry of $250,000, equivalent to $10 million today."
C150,boom,United States,Annual flow into U.S. railway bonds during the boom,usd_million,1870,1873,500,,,yes,the $500 million that went into U.S. railway bonds annually during the boom years of the early 1870s.
C151,boom,United States,"Same flow restated in 2026 dollars (author's 1,200x factor)",usd_million_2026,1870,1873,600000,,,yes,"would today be the equivalent of $600 billion, roughly what is projected to be invested by major tech companies in 2026."
C152,boom,United States,Projected 2026 capital investment by major tech companies,usd_million_2026,2026,2026,600000,,,yes,roughly what is projected to be invested by major tech companies in 2026.
