series_id,series_label,suggested_chart,region,unit,period,value,basis,claim_ids
vienna_land,"Viennese land prices, pre-boom versus peak",dumbbell,"Vienna, small central tract",usd,pre-boom,5000,stated,C043
vienna_land,"Viennese land prices, pre-boom versus peak",dumbbell,"Vienna, small central tract",usd,1873 peak,70000,stated,C043
german_float,The Gruenderjahre: companies founded on the indemnity,bar,"Germany, all new companies",count,1871-73,850,stated,C032
german_float,The Gruenderjahre: companies founded on the indemnity,bar,"Germany, floated in Berlin",count,1871-73,450,stated,C033
panic_1873_stocks,Bellwether stocks through the Panic of 1873,line,Western Union,usd_per_share,1873-09 pre-panic,92,stated,C059
panic_1873_stocks,Bellwether stocks through the Panic of 1873,line,Western Union,usd_per_share,1873-11,46,stated,C059
panic_1873_stocks,Bellwether stocks through the Panic of 1873,line,New York Central,usd_per_share,1873-09 pre-panic,105,stated,C060
panic_1873_stocks,Bellwether stocks through the Panic of 1873,line,New York Central,usd_per_share,1873-11,83,stated,C060
panic_1873_stocks,Bellwether stocks through the Panic of 1873,line,Union Pacific,usd_per_share,1873-09 pre-panic,27,stated,C061
panic_1873_stocks,Bellwether stocks through the Panic of 1873,line,Union Pacific,usd_per_share,1873-11,16,stated,C061
rr_bond_default,Default rate on U.S. listed railway bonds,area,United States,percent_of_2200m_outstanding,1873,0,derived,C046
rr_bond_default,Default rate on U.S. listed railway bonds,area,United States,percent_of_2200m_outstanding,1875-12,33,derived,C050
rr_bond_default,Default rate on U.S. listed railway bonds,area,United States,percent_of_2200m_outstanding,1878,50,derived,C047
price_level,"The great deflation, 1873 = 100",line,Britain and United States (CPI),index_1873_100,1873,100,derived,C068
price_level,"The great deflation, 1873 = 100",line,Britain and United States (CPI),index_1873_100,1880,85,derived,C068
price_level,"The great deflation, 1873 = 100",line,Britain and United States (CPI),index_1873_100,1896,67,derived,C070
price_level,"The great deflation, 1873 = 100",line,World (all prices),index_1873_100,1873,100,derived,C066
price_level,"The great deflation, 1873 = 100",line,World (all prices),index_1873_100,1879,77.5,derived,C066
price_level,"The great deflation, 1873 = 100",line,United States (wholesale),index_1873_100,1873,100,derived,C067
price_level,"The great deflation, 1873 = 100",line,United States (wholesale),index_1873_100,1879,65,derived,C067
silver_price,The price of silver after demonetization,line,World,usd_per_ounce,1872,1.32,stated,C071
silver_price,The price of silver after demonetization,line,World,usd_per_ounce,1892,0.83,stated,C071
uk_capital_outflows,British capital exports around the crisis,line,Britain,usd_million_per_year,1872,500,stated,C079
uk_capital_outflows,British capital exports around the crisis,line,Britain,usd_million_per_year,1878,100,stated,C080
uk_capital_outflows,British capital exports around the crisis,line,Britain,usd_million_per_year,1888,500,stated,C081
equity_returns,"Real equity returns, quarter century before and after 1873",dumbbell,Britain,percent_per_year,1848-1873,13,stated,C103
equity_returns,"Real equity returns, quarter century before and after 1873",dumbbell,Britain,percent_per_year,1873-1898,5,stated,C103
equity_returns,"Real equity returns, quarter century before and after 1873",dumbbell,United States,percent_per_year,1848-1873,11,stated,C104
equity_returns,"Real equity returns, quarter century before and after 1873",dumbbell,United States,percent_per_year,1873-1898,7,stated,C104
transport_costs,The other deflation: collapsing freight costs,dumbbell,"Grain, Chicago to New York (rail)",cents_per_bushel,1870,30,stated,C114
transport_costs,The other deflation: collapsing freight costs,dumbbell,"Grain, Chicago to New York (rail)",cents_per_bushel,early 1890s,13,stated,C114
transport_costs,The other deflation: collapsing freight costs,dumbbell,"Grain, transatlantic",cents_per_bushel,1870,20,stated,C115
transport_costs,The other deflation: collapsing freight costs,dumbbell,"Grain, transatlantic",cents_per_bushel,early 1890s,2,stated,C115
tariffs_manufactures,Europe abandons free trade,line,"Europe, manufactured goods",percent,1850,28,stated,C131
tariffs_manufactures,Europe abandons free trade,line,"Europe, manufactured goods",percent,early 1870s,8,stated,C131
tariffs_manufactures,Europe abandons free trade,line,"Europe, manufactured goods",percent,1890s,17.5,stated,C132
tariffs_manufactures,Europe abandons free trade,line,"United States, manufactured goods",percent,1850,40,assumed,C133
tariffs_manufactures,Europe abandons free trade,line,"United States, manufactured goods",percent,early 1870s,40,assumed,C133
tariffs_manufactures,Europe abandons free trade,line,"United States, manufactured goods",percent,1890,50,assumed,C134
tariffs_grain,Grain tariffs after the price collapse,dumbbell,Germany,percent,1870s,6,stated,C129
tariffs_grain,Grain tariffs after the price collapse,dumbbell,Germany,percent,1890s,30,stated,C129
tariffs_grain,Grain tariffs after the price collapse,dumbbell,France,percent,1890s,40,stated,C130
egypt_debt,Egypt's debt stack at the moment of default,stacked_bar,Bonded debt (mostly British holders),usd_million,1876,350,stated,C084
egypt_debt,Egypt's debt stack at the moment of default,stacked_bar,Floating-rate debt (mostly French holders),usd_million,1876,100,stated,C085
egypt_debt,Egypt's debt stack at the moment of default,stacked_bar,Arrears to contractors and civil servants,usd_million,1876,50,stated,C086
rothschild_scale,"The House of Rothschild, capital and profits",line,Bank capital,usd_million,1815,10,stated,C092
rothschild_scale,"The House of Rothschild, capital and profits",line,Bank capital,usd_million,1850,40,stated,C094
rothschild_scale,"The House of Rothschild, capital and profits",line,Bank capital,usd_million,1867,150,stated,C094
rothschild_scale,"The House of Rothschild, capital and profits",line,Bank capital,usd_million,1870,200,stated,C096
rothschild_scale,"The House of Rothschild, capital and profits",line,Annual profits,usd_million,1850,1,stated,C093
rothschild_scale,"The House of Rothschild, capital and profits",line,Annual profits,usd_million,1867,6,stated,C093
rothschild_scale,"The House of Rothschild, capital and profits",line,Annual profits,usd_million,1880-1900 avg,7,stated,C099
bank_capital_1865,Bank capital on the eve of the crisis,bar,Rothschild (four houses),usd_million,1865,150,stated,C094
bank_capital_1865,Bank capital on the eve of the crisis,bar,Baring Brothers,usd_million,1865,15,stated,C100
bank_capital_1865,Bank capital on the eve of the crisis,bar,Jay Cooke & Co.,usd_million,1865,10,stated,C054
then_and_now,"The book's own 1873-2026 comparison (1,200x deflator)",bar,"U.S. railway bonds, annual issuance",usd_million,"early 1870s, nominal",500,stated,C150
then_and_now,"The book's own 1873-2026 comparison (1,200x deflator)",bar,"Same, in 2026 dollars",usd_million_2026,"early 1870s, restated",600000,stated,C151
then_and_now,"The book's own 1873-2026 comparison (1,200x deflator)",bar,Projected major-tech capex,usd_million_2026,2026,600000,stated,C152
